"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.932508302E0,-6.669464111E-1,9.634460449E0,-8.447875977E0
1.937543703E0,-6.635284424E-1,9.606597900E0,-8.500137329E0
1.942579103E0,-6.626892090E-1,9.625869751E0,-8.504257202E0
1.947614503E0,-6.663208008E-1,9.648162842E0,-8.505432129E0
1.952649904E0,-6.528930664E-1,9.622207642E0,-8.514556885E0
1.957685304E0,-6.446075439E-1,9.625625610E0,-8.523101807E0
1.962720705E0,-6.566467285E-1,9.632537842E0,-8.544433594E0
1.967756105E0,-6.764678955E-1,9.620101929E0,-8.513076782E0
1.972791505E0,-6.470184326E-1,9.658554077E0,-8.489639282E0
1.977826906E0,-6.404266357E-1,9.658737183E0,-8.495956421E0
